year,region,mtumors,syncmtumors,insitu,ncervix,nhospotal_pht,nbeds_pht,ybeds_pht,nill_pht,nvillage_ill_pht,bed_days_pht,dvisits_pht,hvisits_pht,ndoctors_pht,nnursing_pht,nx_ray_pht,nflurography_pht,nradiology_pht,nradlab_pht,nсt_pht,ncardiogram_pht,ndiaglab_pht,nbacter_pht,nbiochem_pht,ncyto_pht,nimun_pht,nphysic_pht,nendoscop_pht,nultrasound_pht,ndialysis_pht,air_pollution,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants,cpi,population,tincidence_pht,mtumors_pht,syncmtumors_pht,insitu_pht,insitu_pti,mtumors_pti,gdp,aging_level,mean_age
2010,Луганська,526.0,166.0,34.0,18.0,5.2344,857.9276,861.821,23206.0501,2749.4174,288256.7917,703048.8182,53657.6777,308.8206,649.5237,6.0564,3.6338,0.173,0.1298,0.173,5.1479,9.2143,0.7787,0.4326,0.3893,0.173,9.82,2.0332,2.9849,0.0433,511.7,96.0,26.0,70.0,636.0,109.1,2311617.0,318.5216,22.754634526394295,7.18112040186588,1.4708318895387946,4.617683009642809,71.43827244329756,19788,20.7,44.2
2010,Львівська,486.0,122.0,221.0,205.0,4.1575,796.3157,797.1786,21023.5498,8580.1515,265452.8896,523271.8483,48823.0193,264.2946,557.5543,4.5889,2.824,0.1177,0.1177,0.1569,6.5892,10.8252,0.1569,0.0784,0.0784,0.0,10.9428,1.8826,3.2162,0.0392,113.2,59.0,2.0,57.0,330.0,109.1,2549617.0,311.3409,19.061686519975353,4.7850324185946365,8.667968561552579,27.840765936004033,61.224489795918366,16353,18.0,41.1
2010,Миколаївська,372.0,94.0,13.0,8.0,4.7078,702.0502,699.3601,20822.8389,7149.2943,235299.9876,606648.4183,30464.0711,244.8685,514.7892,4.3715,2.6902,0.0841,0.0841,0.1681,5.6325,10.9288,0.0841,0.2522,0.2522,0.1681,9.92,2.6902,3.699,0.0841,21.5,28.0,0.0,28.0,118.0,109.1,1189516.0,395.2868,31.27322373133274,7.9023737385625745,1.0928814744820583,2.76478094427903,79.11527009783072,20276,18.4,42.2
2010,Одеська,403.0,110.0,46.0,35.0,4.7678,765.3631,767.036,18697.0676,6702.6569,246307.9804,417992.2644,34234.2312,238.7264,503.3726,5.3534,2.7603,0.1673,0.1255,0.0418,10.0375,11.585,0.2091,0.0836,0.0836,0.2091,11.7941,2.0075,3.555,0.1255,29.2,145.0,56.0,89.0,279.0,109.1,2391022.0,370.8456,16.85471735517281,4.600543198682405,1.9238635194490055,5.187774895680613,45.44941919476711,22544,17.7,41.5
2010,Полтавська,323.0,66.0,33.0,28.0,6.4685,729.2105,731.6779,20201.3648,8205.2352,229010.3076,684307.0033,57467.1222,291.3841,628.3647,5.8017,3.0676,0.2001,0.0667,0.2667,15.0043,17.9385,0.3334,0.0667,0.1334,0.1334,16.4714,2.8675,3.3343,0.0667,72.8,4.0,2.0,4.0,146.0,109.1,1499567.0,342.7656,21.539551083746176,4.401270500084357,2.2006352500421786,6.42023346303502,62.84046692607004,29652,21.6,44.0
2010,Рівненська,173.0,52.0,23.0,22.0,5.2969,769.7825,769.6088,22210.4611,11962.064,259948.1254,619352.8443,43180.7604,278.1073,598.9802,5.731,2.9524,0.2605,0.0868,0.2605,13.6329,14.2408,0.1737,0.0,0.3473,0.1737,14.5013,2.8655,3.5602,0.0868,12.9,10.0,1.0,9.0,122.0,109.1,1151624.0,259.8939,15.022264211235612,4.515362653088161,1.9971796350197635,7.6845973939191445,57.801536919478785,13785,16.4,38.9
2010,Сумська,292.0,66.0,25.0,13.0,5.2034,829.042,830.2413,21630.4976,6856.7631,263376.3735,597290.4087,54446.195,279.148,671.1282,3.5826,1.9619,0.0853,0.0853,0.1706,11.7716,13.307,0.0853,0.0,0.0,0.0,12.454,2.7296,2.9855,0.0853,31.7,20.0,0.0,20.0,139.0,109.1,1172317.0,390.4234,24.907938723058695,5.629876560691349,2.1325290002618744,5.462093074065982,63.79724710509067,15711,21.3,44.3
2010,Тернопільська,226.0,72.0,37.0,26.0,5.0511,802.2115,803.3135,22769.2138,12910.3241,275293.3559,800879.8152,75821.4287,307.2925,610.3144,5.3266,3.8572,0.0918,0.0,0.1837,17.3575,19.2861,0.0918,0.0918,0.0918,0.0918,17.3575,2.7552,3.398,0.0918,18.5,2.0,1.0,1.0,51.0,109.1,1088865.0,310.5068,20.755557392330545,6.612389965698227,3.3980337323727,10.943507837917776,66.8441289559302,11713,20.2,41.9
2010,Харківська,546.0,146.0,141.0,102.0,3.8641,715.2172,715.0727,20335.5327,3802.0446,230697.7854,469025.0476,30126.8034,251.4184,518.6453,5.0558,2.7807,0.0722,0.0361,0.1806,8.306,7.6559,0.325,0.1083,0.0361,0.1083,9.9672,2.3835,3.6113,0.1806,151.9,14.0,7.0,7.0,512.0,109.1,2769089.0,342.4953,19.71767610214045,5.272492144528399,5.091927345058249,14.86714466469844,57.57064529734289,23639,19.2,43.4
2010,Херсонська,376.0,130.0,32.0,27.0,5.4873,731.8249,733.846,20660.1057,7670.4429,243738.9282,712454.7411,64410.7401,280.6076,615.5853,4.2069,3.018,0.0915,0.0915,0.0915,9.8772,11.3405,0.0,0.0,0.0915,0.0915,11.1575,2.1949,2.6522,0.0915,5.3,2.0,2.0,0.0,99.0,109.1,1093431.0,385.8497,34.38717212151475,11.889181850523718,2.9265678401289152,7.584735719364778,89.12064470253614,14346,18.5,42.0
